rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.516372772921562,0.0,0.5228066797602375,0.0,17.888372898101807,0.0,0.4309957027435303,0.0,1.0,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.516372772921562,0.5228066797602375
2,0.5124251128035806,0.0,0.5247762290986353,0.0,18.7814462184906,0.0,0.7759227752685547,0.0,1.0,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.5124251128035806,0.5247762290986353
3,0.5046876732144401,0.0,0.5147098704246846,0.0,18.213666439056396,0.0,0.3599979877471924,0.0,1.0,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.5046876732144401,0.5147098704246846
4,0.4981094401172364,0.0,0.5006194703955038,0.0,80.12057900428772,0.0,3.548180341720581,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.4981094401172364,0.5006194703955038
5,0.497703215463345,0.0,0.502085301714204,0.0,77.48860263824463,0.0,3.6320855617523193,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.497703215463345,0.502085301714204
6,0.49632707679883714,0.0,0.5021316556622809,0.0,68.54922366142273,0.0,2.7730820178985596,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.49632707679883714,0.5021316556622809
7,0.4790397858661494,0.0,0.47895115855466597,0.0,116.2142596244812,0.0,2.6193666458129883,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.4790397858661494,0.47895115855466597
7,0.4790397858661494,0.0,0.47895115855466597,0.0,115.04851222038269,0.0,2.882610321044922,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.4790397858661494,0.47895115855466597
7,0.4790397858661494,0.0,0.47895115855466597,0.0,114.20570635795593,0.0,3.093096971511841,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.4790397858661494,0.47895115855466597
7,0.4790397858661494,0.0,0.47895115855466597,0.0,116.06248831748962,0.0,2.674081563949585,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.4790397858661494,0.47895115855466597
7,0.4790397858661494,0.0,0.47895115855466597,0.0,103.98233985900879,0.0,2.090221881866455,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.4790397858661494,0.47895115855466597
7,0.4790397858661494,0.0,0.47895115855466597,0.0,100.58428263664246,0.0,2.1589083671569824,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.4790397858661494,0.47895115855466597
13,0.07701033425051734,0.0,0.0771406381516124,0.0,9.958871126174927,0.0,0.04823803901672363,0.0,10.0,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.07701033425051734,0.0771406381516124
14,0.07700082767947299,0.0,0.07709617943191654,0.0,11.849387407302856,0.0,0.057600975036621094,0.0,10.0,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.07700082767947299,0.07709617943191654
14,0.07700082767947299,0.0,0.07707170588009168,0.0,10.858457565307617,0.0,0.12215590476989746,0.0,10.0,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.07700082767947299,0.07707170588009168
