rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.7486551069556654,0.0,0.7488568626404252,0.0,13.826776504516602,0.0,0.035080909729003906,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.7486551069556654,0.7488568626404252
1,0.7486551069556654,0.0,0.7488568626404252,0.0,13.733284711837769,0.0,0.07859468460083008,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.7486551069556654,0.7488568626404252
3,0.748644865111709,0.0,0.7484231721026615,0.0,15.99289345741272,0.0,0.06752276420593262,0.0,0.01,1e-05,"{'model__C': 0.01, 'model__tol': 1e-05}",0.748644865111709,0.7484231721026615
4,0.7486070433178701,0.0,0.7483910992010312,0.0,12.033393144607544,0.0,0.11359858512878418,0.0,0.01,0.0001,"{'model__C': 0.01, 'model__tol': 0.0001}",0.7486070433178701,0.7483910992010312
5,0.748503545477011,0.0,0.7489176234543871,0.0,12.870532274246216,0.0,0.05528140068054199,0.0,1.0,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.748503545477011,0.7489176234543871
5,0.748503545477011,0.0,0.7489176234543871,0.0,12.74676513671875,0.0,0.04144287109375,0.0,1.0,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.748503545477011,0.7489176234543871
7,0.7483787303512005,0.0,0.7489023928950911,0.0,12.351334571838379,0.0,0.03618669509887695,0.0,10.0,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.7483787303512005,0.7489023928950911
7,0.7483787303512005,0.0,0.7489023928950911,0.0,12.365526914596558,0.0,0.03858518600463867,0.0,10.0,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.7483787303512005,0.7489023928950911
9,0.7479528513240139,0.0,0.7478305404755838,0.0,1.931443452835083,0.0,0.026318073272705078,0.0,10.0,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.7479528513240139,0.7478305404755838
10,0.7479525770207148,0.0,0.7478297487225123,0.0,3.2310190200805664,0.0,0.04036664962768555,0.0,1.0,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.7479525770207148,0.7478297487225123
11,0.7479514513084748,0.0,0.7478242523174718,0.0,3.5528812408447266,0.0,0.04042863845825195,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.7479514513084748,0.7478242523174718
12,0.7479151114649268,0.0,0.7477613353345716,0.0,3.5046632289886475,0.0,0.07770562171936035,0.0,0.01,0.001,"{'model__C': 0.01, 'model__tol': 0.001}",0.7479151114649268,0.7477613353345716
